ncessch,test_score,learn_rate,urbanicity,level,perecd,high_ecd
60000107534,-0.6085213125849229,1.083039031206788,Rural,Elementary,0.3304547923585016,0
60000109444,-0.7250559981417739,1.090436653499016,Rural,Middle,0.3193131390752563,0
60000608773,0.720220444902993,1.383835375269848,Suburb,Elementary,0.1965842023198599,0
60000608774,1.723854969592857,0.9172072786119654,Suburb,Middle,0.1100078421114936,0
60000608776,1.817926437706901,1.649309512162285,Suburb,Elementary,0.1186033001161114,0
60000908780,-2.234268228929116,0.9741587519016836,Rural,Elementary,0.7562538075240967,1
60001109067,-2.0594984985711,0.6415339888484384,Rural,Other,0.5443188788504278,0
60001209206,-1.986783411935267,1.179218112141467,Rural,Elementary,0.9153243537502518,1
60001300805,0.0711100490751484,1.314628962123777,Suburb,Elementary,0.4068036477764722,0
60001303571,0.7216214334152076,1.201247910017192,Suburb,Elementary,0.1210108639346406,0
60001308256,0.5069470557287952,1.002253480744125,Suburb,Elementary,0.1364090534103539,0
60001308762,2.271104465518876,0.9878702821212271,Suburb,Elementary,0.0474207452828887,0
60001308763,1.927690389431207,1.495928455769279,Suburb,Elementary,0.0549389596090313,0
60001308764,1.109839705458089,1.40575626290287,Suburb,Elementary,0.1120542908365787,0
60001309069,0.507773192088437,1.049854270492067,Suburb,Elementary,0.2821509314656266,0
60001309070,1.039377349753574,1.326377634313896,Suburb,Elementary,0.3261584603417088,0
60001310270,0.8028105783415027,1.265915850482189,Suburb,Elementary,0.2225979060038983,0
60001310575,0.8293098321462669,1.134837174350332,Suburb,Elementary,0.2346980477922447,0
60001311009,0.7522711804352253,1.448681871676803,Suburb,Elementary,0.1304779252582418,0
60001312012,1.843191481150602,0.9945735021847206,Suburb,Elementary,0.0880972583212527,0
60001312302,0.1920598980864492,1.263908843150163,Rural,Elementary,0.2516046458446113,0
60001312558,1.54903185632495,1.316038384836843,Rural,Elementary,0.1042409409720237,0
60001403904,-1.197957960073913,1.105720445349156,Suburb,Elementary,0.7784956495088962,1
60001407295,-0.5066074912542247,1.084403734847132,Suburb,Elementary,0.557088240434134,1
60001409074,-2.15491011244702,0.8332535071727392,Suburb,Elementary,0.869151149887044,1
60001409075,-0.9261862256353997,0.6727996023731643,Suburb,Elementary,0.8113912743302586,1
60001409076,-1.903982004972721,1.051155471661589,Suburb,Elementary,0.8121597046525917,1
60001409078,-1.465529835059271,0.9027830509013942,Suburb,Elementary,0.7368906780487761,1
60001409079,-1.651520303437809,0.7823322652622747,Suburb,Elementary,0.6607503893287942,1
60001409080,-1.632152248011041,0.9260985307520226,Suburb,Elementary,0.8069155084603142,1
60001409081,-1.732892366366557,1.056864093925148,Suburb,Elementary,0.7563415750731858,1
60001409082,-2.138294816044761,0.7051543003914612,Suburb,Elementary,0.8183344386193155,1
60001409476,-2.294511596462921,0.9127794835822126,City,Elementary,0.7137343622615254,1
60001409477,-1.307361187252875,0.9194027346339793,Rural,Elementary,0.7898736798307235,1
60001411119,-0.7096267599005772,0.7628862343046223,Suburb,Elementary,0.6899759621611916,1
60001411746,-2.229213777870902,1.014621927879406,Suburb,Elementary,0.7570206249594218,1
60001412171,-1.769415871911151,1.005409647050739,Suburb,Elementary,0.6813270808650697,1
60001412333,0.026197366132136,1.197830573053873,Suburb,Elementary,0.6640885245157662,1
60001412415,0.7738021474966486,1.087953071512869,Rural,Elementary,0.5179361835613833,0
60001509083,-2.088576603878169,0.8278256304662451,Rural,Elementary,0.7894395120944893,1
60001511860,-1.017865011868997,1.513158020271993,Town,Other,0.2583850605183642,0
60001609087,-1.042064790045741,1.141909525474387,Suburb,Elementary,0.8120710355684797,1
60001609088,-0.7472692648013197,0.8635617369731098,Suburb,Elementary,0.7987008467918068,1
60001609089,-1.303206526115835,0.9961169914203057,Suburb,Elementary,0.7586428618147111,1
60001609090,-0.456269579924717,1.087634833897739,Suburb,Elementary,0.497037442010713,0
60001609091,1.014554731160382,1.002323005111585,Suburb,Elementary,0.2295300549960107,0
60001609093,-0.2513061148124951,0.9832780296152634,Suburb,Elementary,0.5288431240779778,0
60001609094,-0.0992129398252111,1.106118652974599,Suburb,Elementary,0.4515255655961822,0
60001609095,-1.102810515061704,0.7342080939374048,Suburb,Elementary,0.8672547859200095,1
60001609097,0.98074732920571694,1.200186792192803,Suburb,Elementary,0.1822455545121118,0
60001609678,1.05517910404931,0.9023343669348644,Suburb,Elementary,0.1874130767282946,0
60001701149,0.4549109965267801,0.8977048636014621,Suburb,Elementary,0.3861533809166909,0
60001705167,0.144511558673118,1.025527695945674,Rural,Elementary,0.7063475772128585,1
60001707296,-0.0637826137933857,0.9737506955394964,Suburb,Other,0.2457135688916005,0
60001709100,-1.827033471913876,0.9694211367139919,Suburb,Elementary,0.78583532682289,1
60001709101,-1.768243461022464,0.8311983490326278,Suburb,Elementary,0.8583065009840707,1
60001709102,-1.446927019370953,0.8806913525188604,Suburb,Elementary,0.8877847452564435,1
60001709103,-1.252933961652428,1.221742595061918,Suburb,Elementary,0.6354612042992865,1
60001709272,-1.931268093899812,0.8372767575073035,Suburb,Elementary,0.8792240576235664,1
60001711122,-0.4690735043267757,0.984183093421575,Suburb,Elementary,0.5317035347834,0
60001711747,-0.3371165882603426,1.049608568502488,Suburb,Elementary,0.5360363088883403,0
60001712663,-2.362086902141332,0.9273999710374368,Suburb,Elementary,0.8873234591486439,1
60001809108,-0.799795876807873,1.359479069190298,Rural,Elementary,0.7907515953591806,1
60001906929,1.320990261048783,1.248372321721259,Suburb,Elementary,0.1240347358502005,0
60001908443,2.274115771904477,1.104989988070431,Suburb,Elementary,0.0506164664409228,0
60001909275,0.3400268339283858,1.112758227053585,Suburb,Elementary,0.193967905913654,0
60001909276,0.6264606349450856,0.9045763693642798,Suburb,Elementary,0.1655849208296061,0
60001909278,0.2960029739809329,1.226613322029857,Suburb,Middle,0.1664152525231413,0
60001910735,1.436519649106513,1.274122820788708,Rural,Elementary,0.087873627075398,0
60001912078,2.216934022299303,1.197463746641791,Suburb,Elementary,0.0289398476768359,0
60002006951,2.700626999774814,1.416545919524023,City,Elementary,0.0280356944991507,0
60002008444,1.996297397134565,1.364513391465087,City,Middle,0.0582122863883083,0
60002008445,2.35102017220478,1.204818251396242,City,Elementary,0.086879653325109,0
60002009283,1.539197503217652,1.054462513039792,City,Elementary,0.0436126946963627,0
60002009284,1.593495832571747,0.9621012657807917,City,Elementary,0.0699914886766966,0
60002009285,1.105224625406779,1.175564329300197,City,Elementary,0.1061797196892742,0
60002009286,2.109962007703162,1.100695254679255,City,Elementary,0.0754979593199055,0
60002009287,1.089995440366422,1.307222612811932,City,Elementary,0.1896514909998598,0
60002009288,1.997258525675873,1.44195254689059,City,Elementary,0.0341052461816154,0
60002009289,2.680290230111215,1.177827545398495,City,Middle,0.0417732360225012,0
60002009290,1.922042105921137,1.538191244738187,City,Elementary,0.0367899792779433,0
60002009682,2.404207504983534,1.124832282971558,City,Middle,0.0951613308680525,0
